method,problem,dim,bootstrap_arq_iters,delta,stagnationtrigger,runs,mean_f,stdev_f,min_f,mean_evals,stdev_evals,success_rate
arq2,lunacekbirastrigin,40,1,0.05,12,30,28.86144641,18.07296326,4.161563328e-24,150000,0,10.000
arq2,lunacekbirastrigin,40,2.000,0.050,12.000,30,34.1369072343,13.8514169128,0.0000000000,150000.0000000000,0.0000000000,10.000
arq2,lunacekbirastrigin,40,3.000,0.050,12.000,30,33.6224123911,15.1205736883,0.0000000000,150000.0000000000,0.0000000000,10.000
arq2,lunacekbirastrigin,40,5.000,0.050,12.000,30,29.9202470823,17.6878567145,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,lunacekbirastrigin,40,8.000,0.050,12.000,30,31.8325505685,17.4573766203,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,lunacekbirastrigin,40,1.000,0.100,12.000,30,28.8614464088,18.0729632621,0.0000000000,150000.0000000000,0.0000000000,10.000
arq2,lunacekbirastrigin,40,2.000,0.100,12.000,30,34.1369072343,13.8514169128,0.0000000000,150000.0000000000,0.0000000000,10.000
arq2,lunacekbirastrigin,40,3.000,0.100,12.000,30,33.6224123911,15.1205736883,0.0000000000,150000.0000000000,0.0000000000,10.000
arq2,lunacekbirastrigin,40,5.000,0.100,12.000,30,29.9202470823,17.6878567145,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,lunacekbirastrigin,40,8.000,0.100,12.000,30,31.7153842375,17.4654868502,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,lunacekbirastrigin,40,1.000,0.150,12.000,30,28.8614464092,18.0729632615,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,lunacekbirastrigin,40,2.000,0.150,12.000,30,34.1903617588,13.8816958044,0.0000000000,150000.0000000000,0.0000000000,10.000
arq2,lunacekbirastrigin,40,3.000,0.150,12.000,30,33.6465210588,15.2241056685,0.0000000000,150000.0000000000,0.0000000000,10.000
arq2,lunacekbirastrigin,40,5.000,0.150,12.000,30,29.8114972355,17.6019964087,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,lunacekbirastrigin,40,8.000,0.150,12.000,30,31.5474063806,17.3711780064,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,lunacekbirastrigin,40,1.000,0.200,12.000,30,28.8402142345,18.0587741162,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,lunacekbirastrigin,40,2.000,0.200,12.000,30,34.3716549585,13.8729184519,0.0000000000,150000.0000000000,0.0000000000,10.000
arq2,lunacekbirastrigin,40,3.000,0.200,12.000,30,33.4250852066,15.1147471392,0.0000000002,150000.0000000000,0.0000000000,6.667
arq2,lunacekbirastrigin,40,5.000,0.200,12.000,30,28.4613395620,18.2464638214,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,lunacekbirastrigin,40,8.000,0.200,12.000,30,30.8272041217,17.1151133254,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,lunacekbirastrigin,40,1.000,0.250,12.000,30,27.5152593361,18.6448575508,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,lunacekbirastrigin,40,2.000,0.250,12.000,30,34.3197441136,13.8446332867,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,lunacekbirastrigin,40,3.000,0.250,12.000,30,33.3967870205,15.1782185167,0.0000000002,150000.0000000000,0.0000000000,3.333
arq2,lunacekbirastrigin,40,5.000,0.250,12.000,30,29.4076433826,17.9307239117,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,lunacekbirastrigin,40,8.000,0.250,12.000,30,31.3528579922,16.3734822077,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,lunacekbirastrigin,40,1.000,0.050,18.000,30,27.4365431257,18.4598447255,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,lunacekbirastrigin,40,2.000,0.050,18.000,30,34.0642222330,14.1991457776,0.0000000402,150000.0000000000,0.0000000000,0.000
arq2,lunacekbirastrigin,40,3.000,0.050,18.000,30,33.5918648735,15.1046981699,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,lunacekbirastrigin,40,5.000,0.050,18.000,30,28.7619189667,17.9601536346,0.0000000000,150000.0000000000,0.0000000000,10.000
arq2,lunacekbirastrigin,40,8.000,0.050,18.000,30,31.2413194451,17.5398905443,0.0000000000,150000.0000000000,0.0000000000,16.667
arq2,lunacekbirastrigin,40,1.000,0.100,18.000,30,27.3944008350,18.5101686822,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,lunacekbirastrigin,40,2.000,0.100,18.000,30,34.0642222330,14.1991457776,0.0000000402,150000.0000000000,0.0000000000,0.000
arq2,lunacekbirastrigin,40,3.000,0.100,18.000,30,33.6913607792,14.8908931738,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,lunacekbirastrigin,40,5.000,0.100,18.000,30,28.7619189667,17.9601536346,0.0000000000,150000.0000000000,0.0000000000,10.000
