method,problem,dim,bootstrap_arq_iters,delta,stagnationtrigger,runs,mean_f,stdev_f,min_f,mean_evals,stdev_evals,success_rate
arq2,tersoffc,24,1,0.05,12,30,-32.67962914,0.4914641063,-33.43721316,150000,0,100.000
arq2,tersoffc,24,2.000,0.050,12.000,30,-32.9898724029,0.6026922091,-34.1711086626,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,3.000,0.050,12.000,30,-32.8151865817,0.5976213961,-33.9013225213,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,5.000,0.050,12.000,30,-32.9706664463,0.6002261928,-34.2431607976,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,8.000,0.050,12.000,30,-32.7138558901,0.5630939094,-33.6607114565,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,1.000,0.100,12.000,30,-32.6796291412,0.4914641063,-33.4372131603,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,2.000,0.100,12.000,30,-32.9888952100,0.6027325793,-34.1711086626,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,3.000,0.100,12.000,30,-32.8143658641,0.5976967159,-33.9013225213,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,5.000,0.100,12.000,30,-32.9722276444,0.6025601564,-34.2431607976,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,8.000,0.100,12.000,30,-32.7512428015,0.5743241267,-33.6607114565,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,1.000,0.150,12.000,30,-32.6796291412,0.4914641063,-33.4372131603,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,2.000,0.150,12.000,30,-32.9856830126,0.6074746074,-34.1711086626,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,3.000,0.150,12.000,30,-32.8259372656,0.6146356215,-33.9013225213,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,5.000,0.150,12.000,30,-32.9199879273,0.5830491238,-34.2431607976,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,8.000,0.150,12.000,30,-32.7171882013,0.5605504351,-33.6476834819,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,1.000,0.200,12.000,30,-32.6629328734,0.4897485736,-33.4372131603,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,2.000,0.200,12.000,30,-32.9529685662,0.6143128638,-34.1711086626,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,3.000,0.200,12.000,30,-32.8376640065,0.6201757037,-33.9013225213,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,5.000,0.200,12.000,30,-32.9523434814,0.5815279283,-34.2370912416,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,8.000,0.200,12.000,30,-32.6716034557,0.5672685242,-33.6382435845,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,1.000,0.250,12.000,30,-32.7263617379,0.4934582227,-33.4372131603,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,2.000,0.250,12.000,30,-32.9930200682,0.6071175063,-34.1711086626,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,3.000,0.250,12.000,30,-32.7549297191,0.6011180633,-33.9018724344,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,5.000,0.250,12.000,30,-32.9519408498,0.4868300565,-33.8972398495,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,8.000,0.250,12.000,30,-32.8742397166,0.5820366600,-33.9714568531,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,1.000,0.050,18.000,30,-32.8193993677,0.5699112914,-33.8655513200,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,2.000,0.050,18.000,30,-33.0508099289,0.5439017587,-34.1531220268,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,3.000,0.050,18.000,30,-32.5639989385,0.7236773320,-33.8976057859,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,5.000,0.050,18.000,30,-32.8109003601,0.5451866933,-33.7965442414,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,8.000,0.050,18.000,30,-32.8369311717,0.5231157193,-33.8502922861,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,1.000,0.100,18.000,30,-32.8186088256,0.5704595368,-33.8655513200,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,2.000,0.100,18.000,30,-33.0508099289,0.5439017587,-34.1531220268,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,3.000,0.100,18.000,30,-32.5684019864,0.7240700152,-33.8976057859,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,5.000,0.100,18.000,30,-32.8109003601,0.5451866933,-33.7965442414,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,8.000,0.100,18.000,30,-32.7843818576,0.4963858589,-33.8502922861,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,1.000,0.150,18.000,30,-32.8014079398,0.5658070263,-33.8655513200,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,2.000,0.150,18.000,30,-33.0482048251,0.5432396129,-34.1531220268,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,3.000,0.150,18.000,30,-32.5595714366,0.7246081858,-33.8976057859,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,5.000,0.150,18.000,30,-32.8104583575,0.5475562937,-33.7965442414,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,8.000,0.150,18.000,30,-32.7838680433,0.5066985139,-33.8502922861,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,1.000,0.200,18.000,30,-32.8067203040,0.5706664750,-33.8655513200,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,2.000,0.200,18.000,30,-33.0560184955,0.5461276415,-34.1531220268,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,3.000,0.200,18.000,30,-32.5916202823,0.7294748398,-33.8976057859,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,5.000,0.200,18.000,30,-32.8205053579,0.5781604982,-33.7965442414,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,8.000,0.200,18.000,30,-32.8330743847,0.4969405460,-33.8502922861,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,1.000,0.250,18.000,30,-32.8764560220,0.6041153002,-33.9358526503,150000.0000000000,0.0000000000,100.000
