method,problem,dim,bootstrap_arq_iters,delta,stagnationtrigger,runs,mean_f,stdev_f,min_f,mean_evals,stdev_evals,success_rate
arq2,weierstrass,50,1,0.05,12,30,0.8117500384,0.8840741804,0,150000,0,3.333
arq2,weierstrass,50,2.000,0.050,12.000,30,0.5349431561,0.6796704584,0.0067530924,150000.0000000000,0.0000000000,0.000
arq2,weierstrass,50,3.000,0.050,12.000,30,0.7624728542,0.7154192939,0.0000070600,150000.0000000000,0.0000000000,0.000
arq2,weierstrass,50,5.000,0.050,12.000,30,0.6436696210,0.7420496621,0.0007121941,150000.0000000000,0.0000000000,0.000
arq2,weierstrass,50,8.000,0.050,12.000,30,0.4490679849,0.4468692805,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,1.000,0.100,12.000,30,0.8515715133,0.8779881748,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,2.000,0.100,12.000,30,0.4959312551,0.6737164724,0.0005687164,150000.0000000000,0.0000000000,0.000
arq2,weierstrass,50,3.000,0.100,12.000,30,0.8455276176,0.7320601983,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,5.000,0.100,12.000,30,0.5915625785,0.7298970904,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,weierstrass,50,8.000,0.100,12.000,30,0.4437584599,0.4867462606,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,1.000,0.150,12.000,30,0.8184015830,0.8547282653,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,2.000,0.150,12.000,30,0.5900942532,0.6982181847,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,3.000,0.150,12.000,30,0.7539708613,0.6702507295,0.0000070600,150000.0000000000,0.0000000000,0.000
arq2,weierstrass,50,5.000,0.150,12.000,30,0.7438367186,0.7227096549,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,8.000,0.150,12.000,30,0.4371184291,0.6357867992,0.0000000000,150000.0000000000,0.0000000000,10.000
arq2,weierstrass,50,1.000,0.200,12.000,30,0.7994226848,0.7693754788,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,weierstrass,50,2.000,0.200,12.000,30,0.7329763765,1.0580395890,0.0067530924,150000.0000000000,0.0000000000,0.000
arq2,weierstrass,50,3.000,0.200,12.000,30,0.8955414242,0.7522169412,0.0000070600,150000.0000000000,0.0000000000,0.000
arq2,weierstrass,50,5.000,0.200,12.000,30,0.7388101690,0.9703846591,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,weierstrass,50,8.000,0.200,12.000,30,0.3130908641,0.4978346908,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,1.000,0.250,12.000,30,0.9613058985,1.0508934141,0.0000000000,150000.0000000000,0.0000000000,10.000
arq2,weierstrass,50,2.000,0.250,12.000,30,0.6824620293,0.6981018774,0.0004518745,150000.0000000000,0.0000000000,0.000
arq2,weierstrass,50,3.000,0.250,12.000,30,0.6978630780,0.7805480122,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,5.000,0.250,12.000,30,0.5218302305,0.5597711164,0.0000000000,150000.0000000000,0.0000000000,10.000
arq2,weierstrass,50,8.000,0.250,12.000,30,0.6226687592,0.8952320027,0.0000000000,150000.0000000000,0.0000000000,16.667
arq2,weierstrass,50,1.000,0.050,18.000,30,0.8468888413,1.0437155696,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,2.000,0.050,18.000,30,0.4318672810,0.5009463583,0.0006499111,150000.0000000000,0.0000000000,0.000
arq2,weierstrass,50,3.000,0.050,18.000,30,0.7712830681,0.6829708654,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,5.000,0.050,18.000,30,0.6035631906,0.7341344102,0.0001129686,150000.0000000000,0.0000000000,0.000
arq2,weierstrass,50,8.000,0.050,18.000,30,0.3958349068,0.4012794416,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,1.000,0.100,18.000,30,0.8749816624,1.0377654545,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,2.000,0.100,18.000,30,0.4135807508,0.4952871227,0.0005687164,150000.0000000000,0.0000000000,0.000
arq2,weierstrass,50,3.000,0.100,18.000,30,0.7789542489,0.6777019865,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,5.000,0.100,18.000,30,0.6457854232,0.7201979150,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,weierstrass,50,8.000,0.100,18.000,30,0.4012956820,0.4466576301,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,1.000,0.150,18.000,30,0.8273824097,0.9961063132,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,2.000,0.150,18.000,30,0.5172995623,0.5774783335,0.0006499111,150000.0000000000,0.0000000000,0.000
arq2,weierstrass,50,3.000,0.150,18.000,30,0.7618840930,0.5901764636,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,5.000,0.150,18.000,30,0.7243856448,0.7350372705,0.0000000000,150000.0000000000,0.0000000000,3.333
arq2,weierstrass,50,8.000,0.150,18.000,30,0.4224342131,0.5984717293,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,weierstrass,50,1.000,0.200,18.000,30,0.9007644838,0.9296103531,0.0000000000,150000.0000000000,0.0000000000,6.667
arq2,weierstrass,50,2.000,0.200,18.000,30,0.7845321939,1.1393534572,0.0006499111,150000.0000000000,0.0000000000,0.000
